temperature,pressure,reaction_rate,cooling_efficiency,label,reactor_id,timestamp
118.45,4.09,0.45,0.83,SAFE,A,39
219.31,7.63,0.83,0.22,CRITICAL,B,119
129.87,3.84,0.59,0.91,SAFE,D,2
133.93,3.84,0.42,0.81,SAFE,A,6
162.71,7.09,0.82,0.35,CRITICAL,A,101
233.63,9.75,0.86,0.49,CRITICAL,D,123
125.45,4.33,0.58,0.81,SAFE,C,19
213.92,9.69,0.81,0.24,CRITICAL,C,115
134.14,3.93,0.4,0.84,SAFE,E,22
113.97,3.87,0.46,0.86,SAFE,C,38
116.71,4.35,0.57,0.81,SAFE,B,5
143.17,6.31,0.68,0.69,WARNING,D,67
147.11,5.73,0.65,0.63,WARNING,C,73
144.7,5.41,0.74,0.63,WARNING,B,68
292.1,8.95,0.95,0.3,CRITICAL,E,136
154.81,6.12,0.61,0.71,WARNING,C,81
162.1,6.23,0.79,0.61,WARNING,A,86
147.88,4.94,0.69,0.59,WARNING,E,71
137.76,6.13,0.75,0.67,WARNING,D,62
150.26,4.7,0.76,0.64,WARNING,E,74
131.49,3.57,0.45,0.9,SAFE,A,41
186.87,9.85,0.9,0.22,CRITICAL,A,108
268.73,8.99,0.82,0.48,CRITICAL,E,131
111.43,4.08,0.5,0.93,SAFE,A,56
113.43,3.83,0.49,0.87,SAFE,D,4
170.71,6.05,0.68,0.66,WARNING,D,95
134.9,4.03,0.59,0.93,SAFE,A,24
154.31,4.66,0.77,0.67,WARNING,B,78
129.57,4.28,0.52,0.91,SAFE,D,11
126.07,3.53,0.59,0.92,SAFE,C,1
193.62,9.96,0.92,0.49,CRITICAL,A,110
157.97,6.23,0.76,0.6,WARNING,A,82
122.14,3.71,0.48,0.81,SAFE,A,51
155.81,5.01,0.6,0.71,WARNING,B,80
188.45,9.84,0.9,0.43,CRITICAL,E,109
239.62,7.07,0.85,0.45,CRITICAL,D,125
114.2,4.01,0.42,0.88,SAFE,C,22
120.02,4.01,0.58,0.9,SAFE,E,17
152.45,5.39,0.74,0.73,WARNING,B,75
171.09,5.46,0.76,0.7,WARNING,B,95
131.91,3.81,0.53,0.86,SAFE,A,18
191.32,8.9,0.91,0.49,CRITICAL,B,110
223.53,8.34,0.95,0.34,CRITICAL,B,120
127.2,3.53,0.49,0.95,SAFE,D,10
239.71,7.91,0.94,0.35,CRITICAL,B,124
136.62,5.93,0.65,0.63,WARNING,A,61
149.83,5.76,0.78,0.75,WARNING,B,73
170.56,5.27,0.71,0.67,WARNING,C,97
117.46,4.14,0.52,0.82,SAFE,A,29
111.01,4.26,0.49,0.9,SAFE,B,42
129.32,3.99,0.55,0.91,SAFE,C,26
187.73,7.2,0.83,0.44,CRITICAL,C,108
111.93,4.34,0.42,0.92,SAFE,C,49
113.45,3.71,0.47,0.9,SAFE,D,17
111.06,3.52,0.58,0.93,SAFE,C,16
122.51,3.84,0.4,0.82,SAFE,E,25
137.8,6.39,0.64,0.64,WARNING,C,62
133.01,4.37,0.55,0.81,SAFE,D,16
126.44,3.86,0.53,0.81,SAFE,E,20
127.14,4.03,0.53,0.86,SAFE,C,46
155.77,5.09,0.61,0.59,WARNING,C,82
127.77,4.13,0.43,0.82,SAFE,E,58
123.42,4.14,0.42,0.92,SAFE,E,19
166.83,5.12,0.69,0.67,WARNING,B,91
130.88,3.87,0.59,0.95,SAFE,C,56
171.93,5.56,0.8,0.75,WARNING,E,96
133.53,3.98,0.56,0.86,SAFE,B,23
119.25,4.22,0.56,0.89,SAFE,C,6
130.57,3.54,0.54,0.88,SAFE,E,53
173.58,5.24,0.68,0.66,WARNING,D,98
128.93,3.68,0.57,0.93,SAFE,D,44
287.07,7.73,0.92,0.26,CRITICAL,B,137
255.73,9.51,1.0,0.24,CRITICAL,C,128
173.37,8.16,0.97,0.22,CRITICAL,A,104
210.51,8.32,0.93,0.28,CRITICAL,A,114
145.38,5.24,0.79,0.62,WARNING,E,68
120.4,4.46,0.42,0.94,SAFE,E,26
116.52,3.74,0.55,0.94,SAFE,D,47
168.76,6.35,0.71,0.69,WARNING,A,92
131.19,4.1,0.56,0.91,SAFE,A,7
166.15,5.03,0.62,0.64,WARNING,A,89
189.8,8.66,0.9,0.35,CRITICAL,D,109
157.75,6.9,0.95,0.35,CRITICAL,C,100
165.93,7.4,0.96,0.49,CRITICAL,D,102
134.36,3.64,0.46,0.94,SAFE,E,7
156.31,6.37,0.7,0.75,WARNING,C,83
155.31,5.29,0.66,0.69,WARNING,E,79
120.71,3.87,0.5,0.85,SAFE,B,0
122.51,3.68,0.58,0.93,SAFE,A,28
121.82,4.28,0.56,0.83,SAFE,A,43
115.36,3.63,0.59,0.89,SAFE,A,42
148.85,5.02,0.75,0.66,WARNING,A,73
123.06,3.95,0.49,0.93,SAFE,B,27
146.69,5.89,0.73,0.72,WARNING,B,70
128.56,4.27,0.51,0.82,SAFE,E,51
141.66,5.91,0.72,0.75,WARNING,A,66
111.99,3.73,0.42,0.84,SAFE,A,11
153.49,4.82,0.79,0.6,WARNING,E,77
115.02,3.81,0.59,0.95,SAFE,E,8
133.57,4.0,0.5,0.81,SAFE,B,38
205.4,7.44,0.88,0.31,CRITICAL,D,114
150.94,4.53,0.76,0.62,WARNING,C,77
164.2,4.7,0.75,0.67,WARNING,E,89
126.68,3.55,0.48,0.89,SAFE,C,11
122.61,4.26,0.46,0.95,SAFE,D,0
117.22,3.62,0.54,0.9,SAFE,B,37
132.83,3.68,0.58,0.83,SAFE,D,36
116.84,3.62,0.54,0.86,SAFE,D,24
159.26,4.72,0.77,0.72,WARNING,A,83
131.96,3.98,0.44,0.94,SAFE,D,33
148.27,4.67,0.79,0.56,WARNING,C,74
212.67,9.47,0.93,0.46,CRITICAL,D,116
129.73,3.57,0.6,0.87,SAFE,E,16
154.78,5.74,0.63,0.74,WARNING,A,79
129.8,3.92,0.41,0.86,SAFE,A,23
134.74,4.14,0.51,0.9,SAFE,A,15
160.91,8.47,0.85,0.28,CRITICAL,C,101
110.19,3.8,0.44,0.82,SAFE,C,12
279.02,6.93,0.87,0.4,CRITICAL,B,135
169.38,5.09,0.61,0.73,WARNING,E,94
130.25,4.15,0.46,0.87,SAFE,C,34
116.87,4.04,0.43,0.87,SAFE,E,50
289.23,6.77,0.94,0.39,CRITICAL,A,137
141.8,5.34,0.8,0.63,WARNING,D,66
112.85,4.06,0.52,0.88,SAFE,E,11
131.95,4.45,0.42,0.87,SAFE,A,33
122.07,3.98,0.49,0.9,SAFE,E,28
212.61,6.95,0.85,0.25,CRITICAL,B,117
130.74,4.12,0.57,0.89,SAFE,A,9
112.27,3.55,0.42,0.89,SAFE,A,22
237.39,9.13,0.94,0.32,CRITICAL,D,124
157.21,5.86,0.63,0.64,WARNING,B,81
243.25,8.7,0.86,0.49,CRITICAL,C,124
247.06,8.57,0.9,0.43,CRITICAL,E,125
121.1,3.78,0.55,0.87,SAFE,C,54
159.98,6.13,0.69,0.61,WARNING,A,84
123.35,3.81,0.56,0.87,SAFE,C,55
182.45,7.04,0.88,0.23,CRITICAL,B,107
122.77,4.02,0.52,0.89,SAFE,E,23
136.57,5.03,0.77,0.75,WARNING,E,61
138.51,5.89,0.71,0.6,WARNING,B,63
116.84,4.33,0.6,0.84,SAFE,B,56
236.53,6.74,0.89,0.28,CRITICAL,E,122
119.05,3.86,0.44,0.83,SAFE,C,47
225.08,8.37,0.9,0.25,CRITICAL,C,119
170.0,5.84,0.67,0.56,WARNING,A,93
125.83,3.74,0.53,0.91,SAFE,E,15
114.39,3.88,0.54,0.88,SAFE,C,14
244.44,6.76,0.82,0.38,CRITICAL,B,125
168.41,6.41,0.63,0.67,WARNING,C,95
122.29,3.59,0.47,0.85,SAFE,B,44
243.67,8.47,0.86,0.39,CRITICAL,E,124
168.91,4.73,0.8,0.65,WARNING,D,93
124.54,3.97,0.51,0.86,SAFE,B,13
151.18,5.59,0.77,0.67,WARNING,A,75
130.78,4.27,0.56,0.82,SAFE,C,52
143.97,6.38,0.63,0.57,WARNING,A,68
130.42,3.94,0.6,0.92,SAFE,E,56
120.1,4.01,0.6,0.9,SAFE,B,48
171.93,4.73,0.79,0.58,WARNING,B,96
164.68,4.73,0.79,0.59,WARNING,A,88
134.6,3.74,0.43,0.82,SAFE,E,31
220.48,6.72,0.88,0.36,CRITICAL,A,117
249.21,6.59,0.88,0.37,CRITICAL,A,125
127.04,4.05,0.59,0.87,SAFE,E,12
174.87,6.11,0.67,0.71,WARNING,B,98
125.99,3.53,0.46,0.83,SAFE,A,0
273.43,8.32,0.94,0.31,CRITICAL,E,132
194.64,9.92,0.8,0.44,CRITICAL,D,111
111.54,4.05,0.5,0.89,SAFE,D,57
112.07,3.53,0.55,0.84,SAFE,E,49
291.04,7.28,0.82,0.45,CRITICAL,B,138
216.36,6.98,0.85,0.41,CRITICAL,A,116
163.39,6.1,0.72,0.62,WARNING,B,88
298.67,7.04,0.83,0.34,CRITICAL,E,138
118.46,4.1,0.56,0.9,SAFE,C,39
276.03,8.45,0.92,0.37,CRITICAL,B,134
148.88,4.73,0.76,0.63,WARNING,D,73
123.45,3.98,0.49,0.91,SAFE,B,4
164.25,9.99,0.86,0.47,CRITICAL,C,102
114.06,4.49,0.55,0.84,SAFE,D,6
148.65,6.16,0.67,0.67,WARNING,E,72
155.1,6.4,0.78,0.73,WARNING,D,81
253.42,6.85,0.94,0.46,CRITICAL,B,128
130.67,4.02,0.42,0.9,SAFE,D,45
120.07,3.84,0.57,0.84,SAFE,A,46
227.87,8.3,0.82,0.35,CRITICAL,B,121
130.8,4.0,0.54,0.88,SAFE,B,55
301.89,8.38,0.99,0.26,CRITICAL,E,139
121.14,3.89,0.55,0.89,SAFE,E,24
184.35,9.2,0.82,0.33,CRITICAL,A,107
112.82,3.66,0.49,0.84,SAFE,D,42
161.88,9.42,0.9,0.4,CRITICAL,D,101
198.66,9.32,0.98,0.23,CRITICAL,D,112
158.33,7.25,0.89,0.47,CRITICAL,A,100
144.7,4.6,0.68,0.71,WARNING,C,70
141.8,5.85,0.7,0.67,WARNING,E,65
120.94,3.91,0.54,0.84,SAFE,C,53
111.0,3.93,0.46,0.84,SAFE,B,39
130.38,3.74,0.43,0.83,SAFE,C,24
143.9,5.56,0.62,0.61,WARNING,C,69
127.53,3.78,0.4,0.94,SAFE,B,9
245.34,7.08,0.89,0.24,CRITICAL,A,124
264.98,8.81,0.82,0.39,CRITICAL,D,132
111.34,3.86,0.4,0.82,SAFE,E,46
126.75,4.36,0.47,0.9,SAFE,B,45
117.49,4.32,0.47,0.9,SAFE,D,8
160.86,6.33,0.71,0.74,WARNING,D,86
263.74,7.33,0.9,0.22,CRITICAL,E,130
139.39,6.49,0.67,0.56,WARNING,C,64
160.32,6.05,0.75,0.58,WARNING,E,85
125.89,4.33,0.54,0.87,SAFE,B,2
131.24,4.32,0.42,0.94,SAFE,B,1
206.28,8.88,0.87,0.46,CRITICAL,C,113
111.65,3.59,0.54,0.84,SAFE,C,40
132.86,3.96,0.45,0.84,SAFE,A,19
115.79,4.21,0.54,0.87,SAFE,B,32
163.25,8.38,0.92,0.28,CRITICAL,E,102
131.38,4.12,0.5,0.87,SAFE,C,32
165.86,4.67,0.71,0.67,WARNING,E,91
125.89,3.86,0.47,0.83,SAFE,A,12
125.06,4.26,0.53,0.83,SAFE,C,25
110.29,4.22,0.54,0.88,SAFE,A,25
174.3,4.79,0.65,0.74,WARNING,D,99
128.5,4.45,0.44,0.83,SAFE,B,29
136.31,5.41,0.7,0.64,WARNING,D,60
264.8,8.65,0.85,0.46,CRITICAL,C,131
174.21,9.61,0.83,0.34,CRITICAL,B,105
112.88,3.52,0.46,0.92,SAFE,C,18
133.71,3.61,0.4,0.85,SAFE,D,14
267.1,7.03,0.98,0.22,CRITICAL,B,132
128.65,3.83,0.54,0.84,SAFE,B,14
251.29,8.75,0.83,0.34,CRITICAL,A,126
222.42,9.25,0.91,0.46,CRITICAL,D,119
136.87,5.05,0.78,0.58,WARNING,C,61
112.12,3.55,0.43,0.89,SAFE,C,7
206.21,7.41,0.85,0.39,CRITICAL,A,113
160.23,5.27,0.79,0.65,WARNING,C,87
127.18,4.42,0.56,0.89,SAFE,B,33
149.3,5.51,0.8,0.66,WARNING,C,75
113.94,4.46,0.42,0.83,SAFE,A,57
117.93,3.85,0.59,0.92,SAFE,D,23
158.05,5.68,0.73,0.63,WARNING,B,82
131.13,4.47,0.56,0.89,SAFE,C,0
117.89,3.77,0.44,0.94,SAFE,A,17
246.7,9.32,0.94,0.29,CRITICAL,C,125
118.33,4.08,0.43,0.85,SAFE,C,42
207.74,7.26,0.97,0.3,CRITICAL,B,115
286.49,9.47,0.89,0.46,CRITICAL,C,137
192.61,7.08,0.83,0.43,CRITICAL,E,110
128.91,4.13,0.55,0.83,SAFE,B,50
118.56,3.85,0.55,0.91,SAFE,D,19
115.92,4.31,0.52,0.85,SAFE,E,57
224.15,7.63,0.88,0.42,CRITICAL,E,119
171.17,5.16,0.66,0.72,WARNING,A,94
112.28,4.46,0.57,0.89,SAFE,B,40
119.89,3.81,0.47,0.85,SAFE,C,21
157.53,5.89,0.76,0.75,WARNING,E,82
167.45,6.41,0.6,0.74,WARNING,D,92
158.45,4.76,0.61,0.63,WARNING,E,83
127.93,3.6,0.55,0.8,SAFE,D,31
134.5,4.08,0.56,0.91,SAFE,D,9
130.15,4.2,0.47,0.82,SAFE,A,5
249.64,9.65,0.95,0.27,CRITICAL,E,126
128.23,4.17,0.6,0.81,SAFE,A,45
222.17,8.72,0.91,0.24,CRITICAL,C,118
180.53,9.81,0.93,0.43,CRITICAL,D,106
110.07,3.95,0.52,0.84,SAFE,B,31
131.07,4.28,0.45,0.8,SAFE,A,16
116.25,4.42,0.49,0.93,SAFE,A,48
212.9,6.65,0.97,0.27,CRITICAL,E,116
156.05,5.81,0.74,0.55,WARNING,E,80
110.66,3.7,0.53,0.88,SAFE,A,3
125.39,4.09,0.45,0.9,SAFE,D,29
267.28,7.65,0.92,0.29,CRITICAL,C,132
118.59,4.21,0.5,0.83,SAFE,C,36
159.69,4.7,0.66,0.73,WARNING,E,84
118.5,3.51,0.57,0.88,SAFE,C,3
157.67,5.84,0.76,0.61,WARNING,D,83
128.65,3.72,0.48,0.85,SAFE,C,5
220.89,8.44,0.98,0.42,CRITICAL,E,118
161.28,5.09,0.8,0.68,WARNING,B,85
116.67,4.14,0.42,0.87,SAFE,A,26
250.13,6.69,0.89,0.45,CRITICAL,D,128
236.27,8.1,0.99,0.22,CRITICAL,B,123
134.22,4.43,0.57,0.82,SAFE,A,50
157.36,5.01,0.75,0.59,WARNING,C,84
164.52,5.74,0.74,0.69,WARNING,B,89
115.03,3.81,0.6,0.9,SAFE,A,37
122.1,4.22,0.6,0.88,SAFE,B,17
173.4,6.22,0.74,0.75,WARNING,B,97
195.42,9.6,0.95,0.21,CRITICAL,E,111
167.23,5.78,0.67,0.71,WARNING,C,94
163.5,5.14,0.62,0.68,WARNING,C,90
126.19,4.41,0.57,0.81,SAFE,B,35
113.45,3.88,0.44,0.9,SAFE,E,43
136.87,5.42,0.76,0.69,WARNING,D,61
169.66,5.71,0.64,0.73,WARNING,D,94
134.81,4.41,0.49,0.82,SAFE,B,54
125.35,3.7,0.52,0.86,SAFE,E,34
114.58,4.19,0.5,0.86,SAFE,E,42
125.16,4.02,0.47,0.89,SAFE,D,5
134.5,4.32,0.59,0.92,SAFE,D,25
123.46,4.43,0.54,0.82,SAFE,D,28
209.37,8.51,0.94,0.27,CRITICAL,E,115
134.59,4.18,0.48,0.91,SAFE,E,21
166.97,6.06,0.74,0.72,WARNING,E,92
142.81,4.52,0.76,0.61,WARNING,A,67
208.61,8.48,1.0,0.27,CRITICAL,D,115
134.75,3.81,0.52,0.89,SAFE,B,28
121.06,3.76,0.5,0.83,SAFE,D,27
121.73,3.94,0.44,0.81,SAFE,B,22
111.71,3.94,0.46,0.84,SAFE,C,29
113.96,4.05,0.51,0.81,SAFE,B,53
115.14,4.08,0.42,0.88,SAFE,D,59
158.21,6.06,0.77,0.62,WARNING,C,85
167.72,6.93,0.97,0.34,CRITICAL,C,103
146.84,5.83,0.67,0.56,WARNING,E,70
152.01,6.23,0.61,0.65,WARNING,D,77
112.33,3.72,0.54,0.85,SAFE,B,12
123.19,4.14,0.52,0.89,SAFE,E,38
127.34,4.15,0.6,0.88,SAFE,E,44
162.05,5.63,0.74,0.7,WARNING,B,86
132.99,4.5,0.48,0.87,SAFE,D,37
284.58,8.59,0.86,0.32,CRITICAL,D,138
170.63,7.29,0.84,0.21,CRITICAL,A,103
127.01,3.62,0.6,0.86,SAFE,D,1
117.44,4.5,0.49,0.85,SAFE,E,55
185.8,8.27,0.87,0.39,CRITICAL,D,108
149.77,4.52,0.62,0.73,WARNING,A,74
212.74,7.5,0.85,0.3,CRITICAL,A,115
251.53,8.62,0.86,0.42,CRITICAL,C,127
207.07,8.48,0.87,0.28,CRITICAL,E,114
227.48,8.93,0.97,0.43,CRITICAL,A,119
121.38,3.92,0.59,0.95,SAFE,A,53
127.27,4.15,0.5,0.92,SAFE,B,11
239.75,9.18,0.88,0.39,CRITICAL,C,123
175.5,4.53,0.61,0.6,WARNING,E,99
143.67,6.24,0.77,0.64,WARNING,B,67
256.18,9.57,0.99,0.2,CRITICAL,E,128
144.33,5.58,0.73,0.62,WARNING,D,68
117.55,4.22,0.4,0.9,SAFE,D,48
219.11,6.53,0.83,0.35,CRITICAL,D,118
123.41,4.47,0.48,0.88,SAFE,A,8
162.97,5.38,0.74,0.68,WARNING,E,87
120.58,3.71,0.51,0.91,SAFE,A,36
123.76,4.43,0.48,0.94,SAFE,D,32
293.9,9.94,0.96,0.3,CRITICAL,A,139
202.74,6.57,0.96,0.27,CRITICAL,B,113
132.65,3.85,0.55,0.92,SAFE,C,23
149.71,5.47,0.67,0.69,WARNING,E,73
183.77,9.45,0.85,0.41,CRITICAL,D,107
161.23,6.35,0.7,0.71,WARNING,C,88
132.26,3.75,0.52,0.89,SAFE,A,59
198.3,8.64,0.94,0.35,CRITICAL,A,111
145.73,4.51,0.6,0.61,WARNING,D,70
157.12,6.71,0.96,0.35,CRITICAL,E,100
150.14,6.27,0.6,0.59,WARNING,D,74
232.7,6.65,0.96,0.46,CRITICAL,B,122
113.54,3.81,0.49,0.83,SAFE,E,27
124.39,4.07,0.54,0.86,SAFE,C,17
274.49,6.58,0.99,0.35,CRITICAL,C,134
112.14,4.22,0.5,0.91,SAFE,B,10
131.03,3.65,0.54,0.8,SAFE,D,13
273.51,8.72,0.95,0.3,CRITICAL,D,134
126.08,4.19,0.52,0.83,SAFE,D,20
173.83,6.73,0.94,0.42,CRITICAL,E,105
246.63,7.46,0.93,0.36,CRITICAL,B,126
127.12,3.92,0.57,0.87,SAFE,E,48
153.01,4.59,0.71,0.71,WARNING,C,79
135.78,5.58,0.66,0.69,WARNING,E,60
120.95,4.02,0.42,0.83,SAFE,A,38
253.44,7.83,0.84,0.3,CRITICAL,A,127
114.98,4.01,0.5,0.81,SAFE,D,3
282.88,9.59,0.93,0.34,CRITICAL,C,136
121.22,4.42,0.51,0.9,SAFE,C,27
131.98,4.36,0.46,0.92,SAFE,B,58
145.66,4.72,0.78,0.67,WARNING,C,71
150.74,4.57,0.72,0.69,WARNING,D,75
132.04,3.74,0.49,0.89,SAFE,B,6
123.28,4.14,0.41,0.86,SAFE,D,30
163.62,5.32,0.74,0.72,WARNING,E,88
169.86,8.22,0.83,0.44,CRITICAL,D,103
294.38,7.18,0.91,0.22,CRITICAL,C,139
117.44,3.79,0.44,0.91,SAFE,D,22
137.75,4.69,0.79,0.71,WARNING,E,62
119.47,3.53,0.57,0.83,SAFE,B,7
245.21,9.96,0.94,0.35,CRITICAL,D,127
142.67,5.01,0.77,0.66,WARNING,C,68
114.65,4.24,0.56,0.89,SAFE,D,43
130.33,4.17,0.57,0.91,SAFE,C,45
117.21,4.45,0.56,0.88,SAFE,B,46
242.13,6.6,0.87,0.4,CRITICAL,A,123
114.61,4.14,0.49,0.8,SAFE,E,33
173.29,5.09,0.63,0.63,WARNING,A,96
128.34,4.47,0.45,0.92,SAFE,B,3
175.38,5.57,0.69,0.68,WARNING,B,99
210.62,8.74,0.84,0.49,CRITICAL,C,114
127.32,3.56,0.42,0.85,SAFE,D,49
123.78,3.88,0.58,0.88,SAFE,B,57
174.73,5.85,0.78,0.67,WARNING,A,97
164.31,5.71,0.69,0.69,WARNING,C,91
133.45,3.81,0.48,0.92,SAFE,C,44
294.15,9.17,0.91,0.44,CRITICAL,B,139
116.39,3.83,0.4,0.91,SAFE,C,13
229.9,7.04,0.93,0.42,CRITICAL,C,120
238.82,8.61,0.84,0.27,CRITICAL,A,122
132.9,3.68,0.52,0.9,SAFE,B,43
137.82,5.59,0.69,0.61,WARNING,B,62
123.14,3.81,0.43,0.94,SAFE,D,18
178.22,9.1,0.99,0.33,CRITICAL,B,106
279.39,7.25,0.87,0.22,CRITICAL,C,135
115.17,3.71,0.41,0.85,SAFE,E,59
260.48,6.79,0.8,0.36,CRITICAL,A,129
235.8,6.66,0.93,0.37,CRITICAL,C,122
257.47,6.6,0.85,0.5,CRITICAL,D,130
231.53,9.74,0.98,0.37,CRITICAL,D,122
155.05,6.33,0.63,0.64,WARNING,B,79
150.88,6.22,0.69,0.55,WARNING,E,75
191.82,8.43,0.8,0.36,CRITICAL,D,110
154.65,5.0,0.67,0.73,WARNING,E,78
216.95,6.83,0.88,0.37,CRITICAL,D,117
180.58,9.62,0.97,0.41,CRITICAL,C,106
216.32,7.84,0.83,0.48,CRITICAL,E,117
164.29,4.88,0.65,0.68,WARNING,D,89
249.61,9.98,0.91,0.34,CRITICAL,B,127
116.16,4.06,0.44,0.95,SAFE,D,21
151.29,5.98,0.68,0.6,WARNING,D,76
202.79,8.42,0.98,0.42,CRITICAL,A,112
168.06,4.68,0.66,0.7,WARNING,B,92
130.38,4.46,0.5,0.87,SAFE,E,47
166.66,5.05,0.8,0.74,WARNING,C,93
168.74,4.76,0.71,0.74,WARNING,B,93
260.94,7.75,0.99,0.33,CRITICAL,D,131
116.19,3.94,0.49,0.88,SAFE,C,37
